Date,Age,Social media,Time spent,Exposed to inappropriate content on these platforms (out of 10)?,Have you ever been a victim of any of these cyber crimes?,Which type of communication do you generally prefer?,Gender,Year
10-07-2018 00:00,19,Whatsapp,2,3,Fake profiles,through phone,Male,2018
12-09-2018 00:00,19,Youtube,2,5,Photos being misused,Text message,Male,2018
24-09-2018 17:35,19,Instagram,2,5,Hacking,through phone,Female,2018
07-10-2018 17:44,19,Twitter,2,2,None of the above,face to face,Male,2018
12-10-2018 17:46,18,Instagram,2,3,None of the above,Text message,Male,2018
27-11-2018 17:48,30,Whatsapp,1,6,Photos being misused,"face to face, Text message",Female,2018
30-11-2018 17:50,19,Instagram,6,8,Fake profiles,face to face,Male,2018
15-12-2018 17:50,20,Hike,1,4,None of the above,through phone,Female,2018
21-12-2018 17:50,19,Hike,1,7,Fake profiles,through phone,Male,2018
26-12-2018 17:51,19,Whatsapp,1,10,None of the above,face to face,Female,2018
29-12-2018 17:51,19,Instagram,3,10,None of the above,face to face,Male,2018
21-09-2019 17:51,18,Facebook,4,5,"Photos being misused, Fake profiles","face to face, through phone, through social media",Female,2019
02-09-2019 17:51,20,Whatsapp,1,1,None of the above,face to face,Female,2019
18-10-2019 17:52,19,Instagram,1,4,Fake profiles,face to face,Male,2019
27-10-2019 17:54,19,Snapchat,2,4,None of the above,"face to face, Text message",Male,2019
08-11-2019 17:55,19,Whatsapp,2,5,None of the above,face to face,Female,2019
10-11-2019 17:57,19,Youtube,2,7,None of the above,"face to face, through phone",Female,2019
05-12-2019 17:58,19,Instagram,3,6,None of the above,face to face,Male,2019
30-12-2019 17:59,19,Hike,1,7,None of the above,face to face,Female,2019
02-03-2019 18:01,19,Whatsapp,2,4,"Hacking, Photos being misused","face to face, through phone, Text message",Female,2019
02-03-2019 18:03,19,Hike,2,6,Fake profiles,face to face,Female,2019
02-03-2019 18:03,19,Tinder,1,0,"Fake profiles, None of the above",face to face,Female,2019
02-03-2019 18:03,19,Youtube,2,6,None of the above,"face to face, through phone",Male,2019
02-03-2019 18:04,21,Snapchat,1,0,None of the above,Text message,Male,2019
02-03-2019 18:04,19,Hike,2,3,None of the above,"face to face, through phone, Text message, through social media",Male,2019
02-03-2019 18:04,19,Instagram,3,8,None of the above,face to face,Male,2019
02-03-2019 18:05,30,Whatsapp,2,5,None of the above,face to face,Female,2019
02-03-2019 18:05,19,Snapchat,2,7,Fake profiles,face to face,Female,2019
02-03-2019 18:05,19,Youtube,2,5,Fake profiles,"face to face, through phone",Male,2019
02-03-2019 18:05,19,Twitter,3,9,None of the above,face to face,Female,2019
02-03-2019 18:06,19,Snapchat,2,0,None of the above,"face to face, through social media",Female,2019
02-03-2019 18:08,18,Hike,2,8,None of the above,face to face,Male,2019
02-03-2019 18:08,19,Instagram,4,0,None of the above,face to face,Female,2019
02-03-2019 18:08,18,Facebook,3,7,None of the above,face to face,Male,2019
02-03-2019 18:09,18,Snapchat,2,1,None of the above,face to face,Female,2019
02-03-2019 18:10,19,Snapchat,2,3,None of the above,face to face,Male,2019
02-03-2019 18:10,19,Whatsapp,3,0,None of the above,face to face,Male,2019
02-03-2019 18:11,19,Youtube,4,1,None of the above,"face to face, through phone",Male,2019
02-03-2019 18:11,18,Whatsapp,3,6,None of the above,through social media,Male,2019
02-03-2020 18:11,18,Instagram,4,6,Hacking,"face to face, through phone",Male,2020
02-03-2020 18:11,30,Snapchat,2,5,None of the above,"face to face, Text message",Male,2020
02-03-2020 18:12,18,Hike,2,2,None of the above,face to face,Male,2020
02-03-2020 18:12,19,Youtube,3,3,None of the above,face to face,Male,2020
02-03-2020 18:13,18,Youtube,3,3,None of the above,Text message,Male,2020
02-03-2020 18:13,19,Whatsapp,5,0,None of the above,face to face,Male,2020
02-03-2020 18:13,19,Instagram,5,6,None of the above,face to face,Male,2020
02-03-2020 18:14,18,Hike,1,0,None of the above,face to face,Male,2020
02-03-2020 18:15,19,Snapchat,2,2,None of the above,face to face,Female,2020
02-03-2020 18:15,18,Snapchat,2,0,None of the above,"face to face, through social media",Male,2020
02-03-2020 18:15,21,Whatsapp,4,9,Fake profiles,"face to face, through social media",Female,2020
